year,nuclear,geo,bio,hydro,wind,solar
2036,22622319.89617274,565998.5575551725,11537211.635172594,5531811.755080989,10269243.891617542,4233230.714285672
2037,22923010.254028726,573400.498334778,11655045.099459143,5562685.594366703,10589087.492061358,4393503.857142806
2038,23223713.82746395,580802.4391143542,11772878.56374572,5593559.433652418,10908931.090782493,4553777.0
2039,23524430.439196065,588204.3798939276,11890712.028032305,5624433.272938132,11228774.69035467,4714050.142857134
2040,23825154.45638237,595606.3206735103,12008545.492318891,5655307.112223847,11548618.289506413,4874323.285714269
2041,24125882.80050671,603008.2614530931,12126378.956605477,5686180.951509561,11868461.88886586,5034596.428571403
2042,24426615.06982397,610410.2022326756,12244212.420892064,5717054.790795276,12188305.488122698,5194869.571428537
2043,24727349.935033202,617812.1430122583,12362045.88517865,5747928.6300809905,12508149.087430228,5355142.714285672
2044,25028086.28716997,625214.083791841,12479879.349465236,5778802.469366705,12827992.686712714,5515415.857142806
2045,25328823.84003854,632616.0245714238,12597712.813751822,5809676.30865242,13147836.286007572,5675689.0
2046,25629562.26029996,640017.9653510065,12715546.278038409,5840550.147938134,13467679.885296319,5835962.142857134
2047,25930301.196593106,647419.9061305892,12833379.742324995,5871423.987223849,13787523.484588085,5996235.285714269
2048,26231040.510229502,654821.8469101719,12951213.206611581,5902297.826509563,14107367.083878359,6156508.428571403
2049,26531780.106112286,662223.7876897546,13069046.670898167,5933171.665795278,14427210.683169369,6316781.571428537
2050,26832519.879296236,669625.7284693373,13186880.135184754,5964045.505080992,14747054.282460015,6477054.714285672
2051,27133259.77419727,677027.66924892,13304713.59947134,5994919.344366707,15066897.88175084,6637327.857142806
2052,27433999.759945843,684429.6100285028,13422547.063757926,6025793.183652421,15386741.481041579,6797601.0
2053,27734739.805652615,691831.5508080855,13540380.528044512,6056667.022938136,15706585.08033236,6957874.142857134
2054,28035479.891344327,699233.4915876682,13658213.992331099,6087540.862223851,16026428.67962312,7118147.285714269
2055,28336220.006262295,706635.4323672509,13776047.456617685,6118414.701509565,16346272.27891389,7278420.428571403
2056,28636960.141163763,714037.3731468336,13893880.920904271,6149288.54079528,16666115.878204655,7438693.571428537
2057,28937700.289321437,721439.3139264163,14011714.385190858,6180162.380080994,16985959.477495424,7598966.714285672
2058,29238440.44692863,728841.254705999,14129547.849477444,6211036.219366709,17305803.07678619,7759239.857142806
2059,29539180.611126956,736243.1954855818,14247381.31376403,6241910.058652423,17625646.676076956,7919513.0
2060,29839920.779729825,743645.1362651645,14365214.778050616,6272783.897938138,17945490.275367722,8079786.142857134
2061,30140660.951408297,751047.0770447472,14483048.242337203,6303657.737223852,18265333.874658488,8240059.285714269
2062,30441401.12524771,758449.0178243299,14600881.706623789,6334531.576509567,18585177.473949254,8400332.428571403
2063,30742141.300548073,765850.9586039126,14718715.170910375,6365405.4157952815,18905021.07324002,8560605.571428537
2064,31042881.476855278,773252.8993834953,14836548.635196961,6396279.255080996,19224864.672530785,8720878.714285672
2065,31343621.65386928,780654.840163078,14954382.099483548,6427153.094366711,19544708.27182155,8881151.857142806
2066,31644361.83136633,788056.7809426608,15072215.563770134,6458026.933652425,19864551.871112317,9041425.0
2067,31945102.009194262,795458.7217222435,15190049.02805672,6488900.77293814,20184395.470403083,9201698.142857134
2068,32245842.18725337,802860.6625018262,15307882.492343307,6519774.612223854,20504239.06969385,9361971.285714269
2069,32546582.365471706,810262.6032814089,15425715.956629893,6550648.451509569,20824082.668984614,9522244.428571403
2070,32847322.543798987,817664.5440609916,15543549.42091648,6581522.290795283,21143926.26827538,9682517.571428537
2071,33148062.72220197,825066.4848405743,15661382.885203065,6612396.130080998,21463769.867566146,9842790.714285672
2072,33448802.900657322,832468.425620157,15779216.349489652,6643269.9693667125,21783613.46685691,10003063.857142806
2073,33749543.07914856,839870.3663997398,15897049.813776238,6674143.808652427,22103457.066147678,10163337.0
2074,34050283.25766463,847272.3071793225,16014883.278062824,6705017.647938142,22423300.665438443,10323610.142857134
2075,34351023.43619789,854674.2479589052,16132716.74234941,6735891.487223856,22743144.26472921,10483883.285714269
2076,34651763.61474298,862076.1887384879,16250550.206635997,6766765.326509571,23062987.864019975,10644156.428571403
2077,34952503.79329622,869478.1295180706,16368383.670922583,6797639.165795285,23382831.46331074,10804429.571428537
2078,35253243.971855104,876880.0702976533,16486217.13520917,6828513.005081,23702675.062601507,10964702.714285672
2079,35553984.15041788,884282.011077236,16604050.599495756,6859386.844366714,24022518.661892273,11124975.857142806
2080,35854724.32898333,891683.9518568187,16721884.063782342,6890260.683652429,24342362.26118304,11285249.0
2081,36155464.507550634,899085.8926364015,16839717.52806893,6921134.522938143,24662205.860473804,11445522.142857134
2082,36456204.68611922,906487.8334159842,16957550.992355518,6952008.362223858,24982049.45976457,11605795.285714269
2083,36756944.86468869,913889.7741955669,17075384.456642106,6982882.201509573,25301893.059055336,11766068.428571403
