date,nuclear,geo,bio,hydro,wind,solar,demand
2294,100213122.5,2475699.279,41938245.42,13497262.29,92788892.51,45583701.57,191677758.2
2295,100513862.7,2483101.219,42056078.89,13528136.13,93108736.11,45743974.71,191705373.5
2296,100814602.9,2490503.16,42173912.35,13559009.97,93428579.71,45904247.86,191732838.2
2297,101115343.1,2497905.101,42291745.81,13589883.81,93748423.31,46064521,191760153.6
2298,101416083.3,2505307.042,42409579.28,13620757.65,94068266.91,46224794.14,191787321.1
2299,101716823.4,2512708.983,42527412.74,13651631.49,94388110.51,46385067.29,191814341.6
2300,102017563.6,2520110.923,42645246.21,13682505.33,94707954.11,46545340.43,191841216.5
2301,102318303.8,2527512.864,42763079.67,13713379.17,95027797.7,46705613.57,191867946.9
2302,102619044,2534914.805,42880913.14,13744253.01,95347641.3,46865886.71,191894533.9
2303,102919784.2,2542316.746,42998746.6,13775126.84,95667484.9,47026159.86,191920978.8
2304,103220524.3,2549718.686,43116580.06,13806000.68,95987328.5,47186433,191947282.7
2305,103521264.5,2557120.627,43234413.53,13836874.52,96307172.1,47346706.14,191973446.6
2306,103822004.7,2564522.568,43352246.99,13867748.36,96627015.7,47506979.29,191999471.7
2307,104122744.9,2571924.509,43470080.46,13898622.2,96946859.3,47667252.43,192025359.1
2308,104423485,2579326.45,43587913.92,13929496.04,97266702.9,47827525.57,192051109.9
2309,104724225.2,2586728.39,43705747.39,13960369.88,97586546.5,47987798.71,192076725.2
2310,105024965.4,2594130.331,43823580.85,13991243.72,97906390.1,48148071.86,192102206
2311,105325705.6,2601532.272,43941414.31,14022117.56,98226233.7,48308345,192127553.4
2312,105626445.8,2608934.213,44059247.78,14052991.4,98546077.3,48468618.14,192152768.4
2313,105927185.9,2616336.153,44177081.24,14083865.24,98865920.9,48628891.29,192177852.1
2314,106227926.1,2623738.094,44294914.71,14114739.08,99185764.5,48789164.43,192202805.5
2315,106528666.3,2631140.035,44412748.17,14145612.92,99505608.09,48949437.57,192227629.5
2316,106829406.5,2638541.976,44530581.64,14176486.76,99825451.69,49109710.71,192252325.3
2317,107130146.7,2645943.917,44648415.1,14207360.59,100145295.3,49269983.86,192276893.8
2318,107430886.8,2653345.857,44766248.56,14238234.43,100465138.9,49430257,192301336
2319,107731627,2660747.798,44884082.03,14269108.27,100784982.5,49590530.14,192325652.8
2320,108032367.2,2668149.739,45001915.49,14299982.11,101104826.1,49750803.29,192349845.3
2321,108333107.4,2675551.68,45119748.96,14330855.95,101424669.7,49911076.43,192373914.3
2322,108633847.5,2682953.621,45237582.42,14361729.79,101744513.3,50071349.57,192397860.8
2323,108934587.7,2690355.561,45355415.89,14392603.63,102064356.9,50231622.71,192421685.7
2324,109235327.9,2697757.502,45473249.35,14423477.47,102384200.5,50391895.86,192445390.1
2325,109536068.1,2705159.443,45591082.81,14454351.31,102704044.1,50552169,192468974.7
2326,109836808.3,2712561.384,45708916.28,14485225.15,103023887.7,50712442.14,192492440.4
2327,110137548.4,2719963.324,45826749.74,14516098.99,103343731.3,50872715.29,192515788.3
2328,110438288.6,2727365.265,45944583.21,14546972.83,103663574.9,51032988.43,192539019.1
2329,110739028.8,2734767.206,46062416.67,14577846.67,103983418.5,51193261.57,192562133.8
2330,111039769,2742169.147,46180250.14,14608720.51,104303262.1,51353534.71,192585133.2
2331,111340509.2,2749571.088,46298083.6,14639594.34,104623105.7,51513807.86,192608018.1
2332,111641249.3,2756973.028,46415917.06,14670468.18,104942949.3,51674081,192630789.5
2333,111941989.5,2764374.969,46533750.53,14701342.02,105262792.9,51834354.14,192653448.1
2334,112242729.7,2771776.91,46651583.99,14732215.86,105582636.5,51994627.29,192675994.9
2335,112543469.9,2779178.851,46769417.46,14763089.7,105902480.1,52154900.43,192698430.6
2336,112844210,2786580.791,46887250.92,14793963.54,106222323.7,52315173.57,192720756
2337,113144950.2,2793982.732,47005084.39,14824837.38,106542167.3,52475446.71,192742972
2338,113445690.4,2801384.673,47122917.85,14855711.22,106862010.9,52635719.86,192765079.3
2339,113746430.6,2808786.614,47240751.31,14886585.06,107181854.5,52795993,192787078.8
2340,114047170.8,2816188.555,47358584.78,14917458.9,107501698.1,52956266.14,192808971.3
2341,114347910.9,2823590.495,47476418.24,14948332.74,107821541.7,53116539.29,192830757.4
2342,114648651.1,2830992.436,47594251.71,14979206.58,108141385.3,53276812.43,192852438.1
2343,114949391.3,2838394.377,47712085.17,15010080.42,108461228.9,53437085.57,192874014
2344,115250131.5,2845796.318,47829918.64,15040954.26,108781072.5,53597358.71,192895486
2345,115550871.7,2853198.258,47947752.1,15071828.09,109100916.1,53757631.86,192916854.7
2346,115851611.8,2860600.199,48065585.56,15102701.93,109420759.7,53917905,192938120.9
2347,116152352,2868002.14,48183419.03,15133575.77,109740603.3,54078178.14,192959285.4
2348,116453092.2,2875404.081,48301252.49,15164449.61,110060446.9,54238451.29,192980348.8
2349,116753832.4,2882806.022,48419085.96,15195323.45,110380290.5,54398724.43,193001311.9
2350,117054572.5,2890207.962,48536919.42,15226197.29,110700134.1,54558997.57,193022175.5
2351,117355312.7,2897609.903,48654752.89,15257071.13,111019977.7,54719270.71,193042940.1
2352,117656052.9,2905011.844,48772586.35,15287944.97,111339821.3,54879543.86,193063606.6
2353,117956793.1,2912413.785,48890419.81,15318818.81,111659664.9,55039817,193084175.6
2354,118257533.3,2919815.725,49008253.28,15349692.65,111979508.5,55200090.14,193104647.8
2355,118558273.4,2927217.666,49126086.74,15380566.49,112299352.1,55360363.29,193125023.9
2356,118859013.6,2934619.607,49243920.21,15411440.33,112619195.7,55520636.43,193145304.5
2357,119159753.8,2942021.548,49361753.67,15442314.17,112939039.3,55680909.57,193165490.4
2358,119460494,2949423.489,49479587.14,15473188.01,113258882.9,55841182.71,193185582.2
2359,119761234.2,2956825.429,49597420.6,15504061.84,113578726.5,56001455.86,193205580.5
2360,120061974.3,2964227.37,49715254.06,15534935.68,113898570.1,56161729,193225486
2361,120362714.5,2971629.311,49833087.53,15565809.52,114218413.7,56322002.14,193245299.3
2362,120663454.7,2979031.252,49950920.99,15596683.36,114538257.3,56482275.29,193265021.2
2363,120964194.9,2986433.192,50068754.46,15627557.2,114858100.9,56642548.43,193284652.1
2364,121264935,2993835.133,50186587.92,15658431.04,115177944.5,56802821.57,193304192.8
2365,121565675.2,3001237.074,50304421.39,15689304.88,115497788.1,56963094.71,193323643.8
2366,121866415.4,3008639.015,50422254.85,15720178.72,115817631.7,57123367.86,193343005.9
2367,122167155.6,3016040.956,50540088.31,15751052.56,116137475.3,57283641,193362279.5
2368,122467895.8,3023442.896,50657921.78,15781926.4,116457318.9,57443914.14,193381465.3
2369,122768635.9,3030844.837,50775755.24,15812800.24,116777162.5,57604187.29,193400563.9
2370,123069376.1,3038246.778,50893588.71,15843674.08,117097006.1,57764460.43,193419575.9
2371,123370116.3,3045648.719,51011422.17,15874547.92,117416849.7,57924733.57,193438501.8
2372,123670856.5,3053050.659,51129255.64,15905421.76,117736693.3,58085006.71,193457342.3
2373,123971596.7,3060452.6,51247089.1,15936295.59,118056536.9,58245279.86,193476097.9
2374,124272336.8,3067854.541,51364922.56,15967169.43,118376380.5,58405553,193494769.3
2375,124573077,3075256.482,51482756.03,15998043.27,118696224.1,58565826.14,193513356.9
2376,124873817.2,3082658.423,51600589.49,16028917.11,119016067.7,58726099.29,193531861.3
2377,125174557.4,3090060.363,51718422.96,16059790.95,119335911.3,58886372.43,193550283.1
2378,125475297.5,3097462.304,51836256.42,16090664.79,119655754.8,59046645.57,193568622.9
2379,125776037.7,3104864.245,51954089.89,16121538.63,119975598.4,59206918.71,193586881.2
2380,126076777.9,3112266.186,52071923.35,16152412.47,120295442,59367191.86,193605058.4
2381,126377518.1,3119668.127,52189756.81,16183286.31,120615285.6,59527465,193623155.3
2382,126678258.3,3127070.067,52307590.28,16214160.15,120935129.2,59687738.14,193641172.2
2383,126978998.4,3134472.008,52425423.74,16245033.99,121254972.8,59848011.29,193659109.8
2384,127279738.6,3141873.949,52543257.21,16275907.83,121574816.4,60008284.43,193676968.6
2385,127580478.8,3149275.89,52661090.67,16306781.67,121894660,60168557.57,193694749
2386,127881219,3156677.83,52778924.14,16337655.51,122214503.6,60328830.71,193712451.6
2387,128181959.2,3164079.771,52896757.6,16368529.34,122534347.2,60489103.86,193730076.8
2388,128482699.3,3171481.712,53014591.06,16399403.18,122854190.8,60649377,193747625.3
2389,128783439.5,3178883.653,53132424.53,16430277.02,123174034.4,60809650.14,193765097.5
2390,129084179.7,3186285.594,53250257.99,16461150.86,123493878,60969923.29,193782493.9
2391,129384919.9,3193687.534,53368091.46,16492024.7,123813721.6,61130196.43,193799815
2392,129685660,3201089.475,53485924.92,16522898.54,124133565.2,61290469.57,193817061.2
2393,129986400.2,3208491.416,53603758.39,16553772.38,124453408.8,61450742.71,193834233.1
2394,130287140.4,3215893.357,53721591.85,16584646.22,124773252.4,61611015.86,193851331.2
2395,130587880.6,3223295.297,53839425.31,16615520.06,125093096,61771289,193868355.8
2396,130888620.8,3230697.238,53957258.78,16646393.9,125412939.6,61931562.14,193885307.6
2397,131189360.9,3238099.179,54075092.24,16677267.74,125732783.2,62091835.29,193902186.9
2398,131490101.1,3245501.12,54192925.71,16708141.58,126052626.8,62252108.43,193918994.2
2399,131790841.3,3252903.061,54310759.17,16739015.42,126372470.4,62412381.57,193935730
2400,132091581.5,3260305.001,54428592.64,16769889.26,126692314,62572654.71,193952394.8
2401,132392321.7,3267706.942,54546426.1,16800763.09,127012157.6,62732927.86,193968988.9
2402,132693061.8,3275108.883,54664259.56,16831636.93,127332001.2,62893201,193985512.8
2403,132993802,3282510.824,54782093.03,16862510.77,127651844.8,63053474.14,194001967.1
2404,133294542.2,3289912.764,54899926.49,16893384.61,127971688.4,63213747.29,194018352
2405,133595282.4,3297314.705,55017759.96,16924258.45,128291532,63374020.43,194034668.1
2406,133896022.5,3304716.646,55135593.42,16955132.29,128611375.6,63534293.57,194050915.8
2407,134196762.7,3312118.587,55253426.89,16986006.13,128931219.2,63694566.71,194067095.5
2408,134497502.9,3319520.528,55371260.35,17016879.97,129251062.8,63854839.86,194083207.7
2409,134798243.1,3326922.468,55489093.81,17047753.81,129570906.4,64015113,194099252.7
2410,135098983.3,3334324.409,55606927.28,17078627.65,129890750,64175386.14,194115231
2411,135399723.4,3341726.35,55724760.74,17109501.49,130210593.6,64335659.29,194131143
2412,135700463.6,3349128.291,55842594.21,17140375.33,130530437.2,64495932.43,194146989.1
2413,136001203.8,3356530.231,55960427.67,17171249.17,130850280.8,64656205.57,194162769.7
2414,136301944,3363932.172,56078261.14,17202123.01,131170124.4,64816478.71,194178485.3
2415,136602684.2,3371334.113,56196094.6,17232996.84,131489968,64976751.86,194194136.2
2416,136903424.3,3378736.054,56313928.06,17263870.68,131809811.6,65137025,194209722.8
2417,137204164.5,3386137.995,56431761.53,17294744.52,132129655.2,65297298.14,194225245.5
2418,137504904.7,3393539.935,56549594.99,17325618.36,132449498.8,65457571.29,194240704.7
2419,137805644.9,3400941.876,56667428.46,17356492.2,132769342.4,65617844.43,194256100.9
2420,138106385,3408343.817,56785261.92,17387366.04,133089186,65778117.57,194271434.3
2421,138407125.2,3415745.758,56903095.39,17418239.88,133409029.6,65938390.71,194286705.4
2422,138707865.4,3423147.698,57020928.85,17449113.72,133728873.2,66098663.86,194301914.5
2423,139008605.6,3430549.639,57138762.31,17479987.56,134048716.8,66258937,194317062
2424,139309345.8,3437951.58,57256595.78,17510861.4,134368560.4,66419210.14,194332148.4
2425,139610085.9,3445353.521,57374429.24,17541735.24,134688404,66579483.29,194347173.9
2426,139910826.1,3452755.462,57492262.71,17572609.08,135008247.6,66739756.43,194362139
2427,140211566.3,3460157.402,57610096.17,17603482.92,135328091.2,66900029.57,194377043.9
2428,140512306.5,3467559.343,57727929.64,17634356.76,135647934.8,67060302.71,194391889.1
2429,140813046.7,3474961.284,57845763.1,17665230.59,135967778.4,67220575.86,194406675
2430,141113786.8,3482363.225,57963596.56,17696104.43,136287622,67380849,194421401.8
2431,141414527,3489765.165,58081430.03,17726978.27,136607465.6,67541122.14,194436069.9
2432,141715267.2,3497167.106,58199263.49,17757852.11,136927309.2,67701395.29,194450679.7
2433,142016007.4,3504569.047,58317096.96,17788725.95,137247152.8,67861668.43,194465231.5
2434,142316747.5,3511970.988,58434930.42,17819599.79,137566996.4,68021941.57,194479725.7
2435,142617487.7,3519372.929,58552763.89,17850473.63,137886840,68182214.71,194494162.6
2436,142918227.9,3526774.869,58670597.35,17881347.47,138206683.6,68342487.86,194508542.6
2437,143218968.1,3534176.81,58788430.81,17912221.31,138526527.2,68502761,194522865.9
2438,143519708.3,3541578.751,58906264.28,17943095.15,138846370.8,68663034.14,194537133
2439,143820448.4,3548980.692,59024097.74,17973968.99,139166214.4,68823307.29,194551344.1
2440,144121188.6,3556382.633,59141931.21,18004842.83,139486058,68983580.43,194565499.6
2441,144421928.8,3563784.573,59259764.67,18035716.67,139805901.6,69143853.57,194579599.8
2442,144722669,3571186.514,59377598.14,18066590.51,140125745.2,69304126.71,194593645
2443,145023409.2,3578588.455,59495431.6,18097464.34,140445588.8,69464399.86,194607635.5
2444,145324149.3,3585990.396,59613265.06,18128338.18,140765432.4,69624673,194621571.8
2445,145624889.5,3593392.336,59731098.53,18159212.02,141085276,69784946.14,194635454
2446,145925629.7,3600794.277,59848931.99,18190085.86,141405119.6,69945219.29,194649282.5
2447,146226369.9,3608196.218,59966765.46,18220959.7,141724963.2,70105492.43,194663057.6
2448,146527110,3615598.159,60084598.92,18251833.54,142044806.8,70265765.57,194676779.6
2449,146827850.2,3623000.1,60202432.39,18282707.38,142364650.4,70426038.71,194690448.9
2450,147128590.4,3630402.04,60320265.85,18313581.22,142684494,70586311.86,194704065.7
2451,147429330.6,3637803.981,60438099.31,18344455.06,143004337.6,70746585,194717630.3
2452,147730070.8,3645205.922,60555932.78,18375328.9,143324181.2,70906858.14,194731143
2453,148030810.9,3652607.863,60673766.24,18406202.74,143644024.8,71067131.29,194744604.2
2454,148331551.1,3660009.803,60791599.71,18437076.58,143963868.4,71227404.43,194758014
2455,148632291.3,3667411.744,60909433.17,18467950.42,144283712,71387677.57,194771372.9
2456,148933031.5,3674813.685,61027266.64,18498824.26,144603555.6,71547950.71,194784681.1
2457,149233771.7,3682215.626,61145100.1,18529698.09,144923399.2,71708223.86,194797938.9
2458,149534511.8,3689617.567,61262933.56,18560571.93,145243242.8,71868497,194811146.6
2459,149835252,3697019.507,61380767.03,18591445.77,145563086.4,72028770.14,194824304.4
2460,150135992.2,3704421.448,61498600.49,18622319.61,145882930,72189043.29,194837412.6
2461,150436732.4,3711823.389,61616433.96,18653193.45,146202773.6,72349316.43,194850471.6
2462,150737472.5,3719225.33,61734267.42,18684067.29,146522617.2,72509589.57,194863481.6
2463,151038212.7,3726627.27,61852100.89,18714941.13,146842460.8,72669862.71,194876442.8
2464,151338952.9,3734029.211,61969934.35,18745814.97,147162304.4,72830135.86,194889355.6
2465,151639693.1,3741431.152,62087767.81,18776688.81,147482148,72990409,194902220.2
2466,151940433.3,3748833.093,62205601.28,18807562.65,147801991.6,73150682.14,194915036.9
2467,152241173.4,3756235.034,62323434.74,18838436.49,148121835.2,73310955.29,194927805.9
2468,152541913.6,3763636.974,62441268.21,18869310.33,148441678.8,73471228.43,194940527.6
2469,152842653.8,3771038.915,62559101.67,18900184.17,148761522.4,73631501.57,194953202.1
2470,153143394,3778440.856,62676935.14,18931058.01,149081366,73791774.71,194965829.8
2471,153444134.2,3785842.797,62794768.6,18961931.84,149401209.6,73952047.86,194978410.9
2472,153744874.3,3793244.737,62912602.06,18992805.68,149721053.2,74112321,194990945.7
2473,154045614.5,3800646.678,63030435.53,19023679.52,150040896.8,74272594.14,195003434.3
2474,154346354.7,3808048.619,63148268.99,19054553.36,150360740.4,74432867.29,195015877.2
2475,154647094.9,3815450.56,63266102.46,19085427.2,150680584,74593140.43,195028274.4
2476,154947835,3822852.501,63383935.92,19116301.04,151000427.6,74753413.57,195040626.4
2477,155248575.2,3830254.441,63501769.39,19147174.88,151320271.2,74913686.71,195052933.2
2478,155549315.4,3837656.382,63619602.85,19178048.72,151640114.8,75073959.86,195065195.2
2479,155850055.6,3845058.323,63737436.31,19208922.56,151959958.4,75234233,195077412.6
2480,156150795.8,3852460.264,63855269.78,19239796.4,152279802,75394506.14,195089585.7
2481,156451535.9,3859862.204,63973103.24,19270670.24,152599645.6,75554779.29,195101714.7
2482,156752276.1,3867264.145,64090936.71,19301544.08,152919489.2,75715052.43,195113799.8
2483,157053016.3,3874666.086,64208770.17,19332417.92,153239332.8,75875325.57,195125841.3
2484,157353756.5,3882068.027,64326603.64,19363291.76,153559176.4,76035598.71,195137839.3
2485,157654496.7,3889469.968,64444437.1,19394165.59,153879020,76195871.86,195149794.3
2486,157955236.8,3896871.908,64562270.56,19425039.43,154198863.6,76356145,195161706.3
2487,158255977,3904273.849,64680104.03,19455913.27,154518707.2,76516418.14,195173575.6
2488,158556717.2,3911675.79,64797937.49,19486787.11,154838550.8,76676691.29,195185402.4
2489,158857457.4,3919077.731,64915770.96,19517660.95,155158394.4,76836964.43,195197187
2490,159158197.5,3926479.671,65033604.42,19548534.79,155478238,76997237.57,195208929.6
2491,159458937.7,3933881.612,65151437.89,19579408.63,155798081.6,77157510.71,195220630.3
2492,159759677.9,3941283.553,65269271.35,19610282.47,156117925.2,77317783.86,195232289.6
2493,160060418.1,3948685.494,65387104.81,19641156.31,156437768.8,77478057,195243907.4
2494,160361158.3,3956087.435,65504938.28,19672030.15,156757612.4,77638330.14,195255484.2
2495,160661898.4,3963489.375,65622771.74,19702903.99,157077456,77798603.29,195267020
2496,160962638.6,3970891.316,65740605.21,19733777.83,157397299.6,77958876.43,195278515.2
2497,161263378.8,3978293.257,65858438.67,19764651.67,157717143.2,78119149.57,195289969.9
2498,161564119,3985695.198,65976272.14,19795525.51,158036986.8,78279422.71,195301384.3
2499,161864859.2,3993097.139,66094105.6,19826399.34,158356830.4,78439695.86,195312758.6
2500,162165599.3,4000499.079,66211939.06,19857273.18,158676674,78599969,195324093.1
2501,162466339.5,4007901.02,66329772.53,19888147.02,158996517.6,78760242.14,195335388
2502,162767079.7,4015302.961,66447605.99,19919020.86,159316361.2,78920515.29,195346643.5
2503,163067819.9,4022704.902,66565439.46,19949894.7,159636204.8,79080788.43,195357859.7
2504,163368560,4030106.842,66683272.92,19980768.54,159956048.4,79241061.57,195369037
2505,163669300.2,4037508.783,66801106.39,20011642.38,160275892,79401334.71,195380175.4
2506,163970040.4,4044910.724,66918939.85,20042516.22,160595735.6,79561607.86,195391275.2
2507,164270780.6,4052312.665,67036773.31,20073390.06,160915579.2,79721881,195402336.6
2508,164571520.8,4059714.606,67154606.78,20104263.9,161235422.8,79882154.14,195413359.8
2509,164872260.9,4067116.546,67272440.24,20135137.74,161555266.4,80042427.29,195424345
2510,165173001.1,4074518.487,67390273.71,20166011.58,161875110,80202700.43,195435292.3
2511,165473741.3,4081920.428,67508107.17,20196885.42,162194953.6,80362973.57,195446202.1
2512,165774481.5,4089322.369,67625940.64,20227759.26,162514797.2,80523246.71,195457074.4
2513,166075221.7,4096724.309,67743774.1,20258633.09,162834640.8,80683519.86,195467909.5
2514,166375961.8,4104126.25,67861607.56,20289506.93,163154484.4,80843793,195478707.5
2515,166676702,4111528.191,67979441.03,20320380.77,163474328,81004066.14,195489468.7
2516,166977442.2,4118930.132,68097274.49,20351254.61,163794171.6,81164339.29,195500193.2
